물건종류,사업장 소재지,토지매각면적,건축물면적,공매가 구분,입찰시작일자,입찰종료일자,최저공매가,담당부서,담당자 연락처,대금납부방법,공매신청일자,공매신청인명
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,최초공매가,,,11992500000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,1차 최저공매가,2023-11-20,2023-11-21,11992500000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,2차 최저공매가,2023-11-23,2023-11-24,11573000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,3차 최저공매가,2023-11-28,2023-11-29,11168000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,4차 최저공매가,2023-12-01,2023-12-04,10778000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,5차 최저공매가,2023-12-06,2023-12-07,10401000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,6차 최저공매가,2023-12-11,2023-12-12,10037000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,7차 최저공매가,2023-12-14,2023-12-15,9686000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,8차 최저공매가,2023-12-19,2023-12-20,9347000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,9차 최저공매가,2023-12-22,2023-12-26,9020000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,10차 최저공매가,2023-12-28,2023-12-29,8705000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
미완성건물(토지포함),제주특별자치도 제주시 조천읍 조천리 3203-45,4694㎡,2839.7㎡,11차 최저공매가,2024-01-03,2024-01-04,8401000000,중부관리센터,042-719-5533,계약금(10%) 낙찰일로부터 7영업일 이내 중도금(40%) 계약체결일로부터 3개월 이내 잔금(50%) 계약체결일로부터 6개월 이내,2023-10-10,손종현 선임주임
